Value,Precision,IndicatorOrder,DataId,SurveyYear,DenominatorUnweighted
94.9,1,93886010,139796,1998,NA
93.3,1,93886020,330966,1998,NA
93.1,1,93886020,139797,1998,NA
86.2,1,93886030,330967,1998,NA
82.4,1,93886030,139798,1998,NA
76.4,1,93886040,330969,1998,NA
73.8,1,93886040,139793,1998,NA
91.2,1,93886050,330968,1998,NA
87.7,1,93886050,139792,1998,NA
91,1,93886060,330973,1998,NA
89,1,93886060,139795,1998,NA
82.7,1,93886070,330976,1998,NA
80,1,93886070,139854,1998,NA
72.1,1,93886080,330974,1998,NA
68.3,1,93886080,139852,1998,NA
82.2,1,93886090,330975,1998,NA
87.6,1,93886090,139853,1998,NA
63.4,1,93886230,330970,1998,NA
62.6,1,93886230,139816,1998,NA
96.8,1,93906010,796064,1998,NA
93.3,1,93906020,796068,1998,NA
86.2,1,93906030,796065,1998,NA
76.4,1,93906040,796073,1998,NA
91.2,1,93906050,796069,1998,NA
91,1,93906060,796070,1998,NA
82.7,1,93906070,796071,1998,NA
72.1,1,93906080,796072,1998,NA
82.2,1,93906090,796074,1998,NA
63.4,1,93906230,796066,1998,NA
92.5,1,93886010,538293,2016,NA
91.5,1,93886010,358597,2016,NA
91.2,1,93886020,538295,2016,NA
87.5,1,93886020,358599,2016,NA
75.3,1,93886030,538296,2016,NA
71,1,93886030,358600,2016,NA
64.9,1,93886040,538283,2016,NA
63.3,1,93886040,358602,2016,NA
92.3,1,93886050,538301,2016,NA
88.3,1,93886050,358607,2016,NA
78.1,1,93886060,538286,2016,NA
74.3,1,93886060,358616,2016,NA
86.1,1,93886090,538280,2016,NA
84.4,1,93886090,358624,2016,NA
90.2,1,93886110,538290,2016,NA
87,1,93886110,358611,2016,NA
73.4,1,93886120,538298,2016,NA
71.6,1,93886120,358605,2016,NA
65,1,93886130,538284,2016,NA
65.8,1,93886130,358603,2016,NA
91.2,1,93886140,538299,2016,NA
87.5,1,93886140,358606,2016,NA
75.3,1,93886150,538285,2016,NA
71,1,93886150,358604,2016,NA
64.9,1,93886160,538297,2016,NA
63.3,1,93886160,358610,2016,NA
61.2,1,93886230,538276,2016,NA
61.1,1,93886230,358617,2016,NA
92.5,1,93906010,509956,2016,NA
91.2,1,93906020,509959,2016,NA
75.3,1,93906030,509957,2016,NA
64.9,1,93906040,509960,2016,NA
92.3,1,93906050,509965,2016,NA
78.1,1,93906060,509966,2016,NA
86.1,1,93906090,509968,2016,NA
90.2,1,93906110,509961,2016,NA
73.4,1,93906120,509958,2016,NA
65,1,93906130,509955,2016,NA
91.2,1,93906140,509970,2016,NA
75.3,1,93906150,509971,2016,NA
64.9,1,93906160,509972,2016,NA
61.2,1,93906230,509978,2016,NA
91.4,1,93936010,36637,2016,NA
88.5,1,93936020,36638,2016,NA
72.7,1,93936030,36639,2016,NA
63.3,1,93936040,36640,2016,NA
89.9,1,93936050,36645,2016,NA
75.9,1,93936060,36644,2016,NA
79.7,1,93936090,36646,2016,NA
56.7,1,93936230,36641,2016,NA
63.7,1,93936260,36643,2016,NA
