DataId,SurveyYear,DenominatorWeighted,CharacteristicCategory,CharacteristicLabel
621666,1998,NA,Age in months (other groupings),0-5
621667,1998,NA,Age in months (other groupings),0-5
621670,1998,NA,Age in months (other groupings),0-5
621664,1998,NA,Age in months (other groupings),0-5
621143,1998,NA,Age in months (other groupings),0-5
796663,1998,NA,Total,Total
719834,2016,NA,Total,Total
719833,2016,NA,Total,Total
376864,2016,NA,Age in months (other groupings),0-5
376865,2016,NA,Age in months (other groupings),0-5
376871,2016,NA,Age in months (other groupings),0-5
376867,2016,NA,Age in months (other groupings),0-5
574102,2016,NA,Age in months (other groupings),0-5
198727,2016,NA,Total,Total
198806,2016,NA,Total,Total
710116,2016,NA,Total,Total
710119,2016,NA,Total,Total
198845,2016,NA,Total,Total
198846,2016,NA,Total,Total
198847,2016,NA,Total,Total
