Value,Precision,IndicatorOrder,DataId
38.9,1,250161020,795196
19.5,1,250161030,795198
3,1,250161040,795199
0.7,1,250161070,795212
1,1,250161074,795201
0.1,1,250161080,795207
13.2,1,250161090,795211
11.8,1,250161130,795200
1.4,1,250161140,795202
0.5,1,250161150,795208
100,1,250161160,795213
83.5,1,250162010,795844
36,1,250162020,795750
19.3,1,250162030,795740
3.4,1,250162040,795756
0.7,1,250162070,795757
0.9,1,250162074,795746
0.1,1,250162080,795741
15.9,1,250162090,795751
14.4,1,250162130,795745
1.5,1,250162140,795747
0.7,1,250162150,795748
100,1,250162160,795752
63.2,1,250201010,795209
28.5,1,250201020,795214
6.7,1,250201030,795203
1.6,1,250201040,795204
100,1,250201050,795205
60.4,1,250202010,795742
29.5,1,250202020,795753
8.4,1,250202030,795743
1.7,1,250202040,795758
100,1,250202050,795759
95.3,1,250161010,295311
45.1,1,250161020,295317
14.1,1,250161030,295319
2.8,1,250161040,295321
0.2,1,250161050,295322
0.3,1,250161060,295313
0.5,1,250161070,295329
2.1,1,250161074,295308
0.9,1,250161080,295314
4.7,1,250161090,295328
1.3,1,250161100,295312
0.9,1,250161110,295306
2.3,1,250161130,295307
0.3,1,250161140,295310
100,1,250161160,295330
93.4,1,250162010,414151
45.5,1,250162020,414148
13.6,1,250162030,414152
2.8,1,250162040,414161
0.2,1,250162050,414162
0.4,1,250162060,414163
0.5,1,250162070,414164
2,1,250162074,414172
0.7,1,250162080,414177
6.6,1,250162090,414150
1.8,1,250162100,414153
1.2,1,250162110,414149
3.4,1,250162130,414171
0.2,1,250162140,414173
100,1,250162160,414154
78.5,1,250201010,295315
16.4,1,250201020,295331
4.5,1,250201030,295323
0.6,1,250201040,295324
100,1,250201050,295325
76.7,1,250202010,414178
16.9,1,250202020,414155
5.8,1,250202030,414179
0.6,1,250202040,414166
100,1,250202050,414167
4.8,1,250231010,295327
1.2,1,250231020,295333
0.1,1,250231030,295335
1.4,1,250231040,295334
0,1,250231050,295340
0.7,1,250231060,295341
91.9,1,250231070,295342
0,1,250231080,295343
7.3,1,250231090,295344
4.6,1,250232010,414168
1.3,1,250232020,414169
0,1,250232030,414181
1.2,1,250232040,414157
0,1,250232050,414182
0.8,1,250232060,414159
92.2,1,250232070,414183
0,1,250232080,414175
6.9,1,250232090,414176
